,Type,N_peaks,Media_proem,Area,Width_peaks,Width_peaks_max,Width_peaks_min,Median,Mode,Mean,Sd
296,3,3,15.32022,822.03009,16.37036,65.21528,0.86248,45.88194,15.24306,52.74918,27.80203
297,3,2,100.01042,3199.21759,53.87198,311.72917,1.20997,87.00000,31.25694,197.67729,179.26384
298,3,3,217.50000,7301.34722,112.55485,935.80208,1.40852,286.22222,12.19444,435.82108,594.46085
299,3,1,409.09954,7355.48380,196.18370,756.26736,3.54069,295.69444,76.45139,448.88603,392.69603
320,3,3,293.04861,18265.42361,281.36692,1915.27083,0.53973,990.20833,5.00694,1088.24224,984.03796
321,3,3,29.93904,1697.22222,32.70611,158.50000,1.31778,100.76389,22.63889,102.53309,67.98210
322,3,1,55.33102,11223.32870,471.62766,1882.78819,0.50000,80.80556,20.20833,797.21242,909.12633
323,3,2,18.56713,1269.04167,36.17964,153.31944,0.50000,83.46528,15.73611,81.59109,46.68368
324,3,2,21.91551,853.44213,17.13303,70.82639,2.12655,38.45833,20.18750,57.62214,43.62817
325,3,2,20.46644,760.25926,18.89108,78.67361,1.41121,35.72222,16.56944,48.02533,30.99033
326,3,2,493.51389,15295.78935,277.96188,2165.89931,0.65325,128.38889,22.33333,884.85580,1187.64891
327,3,3,127.09336,4759.54630,73.99868,579.76389,0.65966,148.94444,10.35417,276.93178,354.71939
328,3,2,102.45370,2547.47222,51.19676,326.68403,0.60868,52.25000,10.79167,148.06250,192.48270
329,3,2,18.53125,697.78704,17.05053,49.03472,3.01714,37.27083,17.33333,43.14542,17.11151
350,3,1,145.54861,1736.19907,60.72257,229.87153,3.16295,38.50000,7.48611,104.77819,134.33347
351,3,1,88.59954,6466.67824,139.98215,545.78125,2.46606,427.52778,42.10417,410.03023,214.41962
352,3,2,22.88310,1844.62500,24.11046,83.04514,0.66629,79.47222,8.89583,130.96855,174.02096
353,3,4,8.16956,557.49074,10.95259,41.45833,0.53203,20.54861,18.58333,36.02859,27.77520
354,3,2,32.61227,779.22454,18.35659,103.88194,1.09286,14.22917,1.82639,46.62827,59.11976
355,3,2,14.16088,916.24306,28.89379,147.91667,0.59316,49.64583,12.71528,60.38725,39.79131
356,3,2,352.08912,8826.04630,150.56464,1145.16319,2.45937,44.15972,5.97917,495.16381,743.58462
357,3,3,36.53241,1341.59491,23.02084,163.52778,0.50000,31.90972,5.83333,76.82598,98.27482
358,3,2,74.86111,3141.05093,62.14749,265.55208,2.07832,106.49306,16.72222,245.11275,358.47687
359,3,1,1024.72917,11307.00463,393.30732,1550.78819,3.20025,76.09722,12.96528,648.21038,1002.81926
380,3,2,1583.19560,57225.88657,937.99414,6957.42708,1.85215,1025.83333,13.11111,3428.66136,3985.84936
381,3,3,9.69522,248.42361,8.91229,26.44097,0.59287,14.22917,3.60417,15.18668,9.01320
382,3,3,173.69907,7993.49074,121.88470,714.48958,0.67549,261.03472,37.18750,462.77819,406.88134
383,3,1,17.53704,10547.63194,16.39479,57.09028,1.59055,79.39583,10.77778,706.54167,962.01268
384,3,2,51.65278,2106.50000,33.11555,191.92708,0.53283,76.96528,28.95139,132.08701,101.12257
385,3,1,36.92593,956.84954,25.15382,78.35417,3.30725,50.39583,9.99306,58.54779,32.65952
386,3,3,65.68827,3037.12037,46.98147,281.08333,0.50000,154.20833,17.66667,182.31658,151.22524
387,3,2,291.98843,6736.66435,126.50831,870.30903,0.71485,111.90972,10.75694,407.22345,548.78208
388,3,2,71.42361,1751.26852,36.31107,246.35069,0.50920,23.13889,6.93750,107.55270,143.51418
389,3,1,13.71296,1356.07176,20.02872,61.59028,2.29078,55.37500,10.95833,88.03758,87.16978
410,3,1,106.35185,2029.59491,66.66903,259.71528,0.58890,79.78472,5.33333,122.01348,128.81193
411,3,3,12.80478,387.55787,8.99958,37.67014,0.50000,15.84722,5.67361,22.87377,19.61851
412,3,3,78.46451,3101.67361,39.12549,352.75694,0.50000,39.13194,12.69444,178.72549,221.95697
413,3,1,82.25231,2908.75694,79.22719,306.32292,1.19478,144.45139,46.67361,181.25082,133.94335
414,3,4,45.07928,2399.93056,36.73995,271.83333,0.56747,82.45833,3.15278,144.71283,138.02531
415,3,2,42.22338,1162.77778,26.35197,123.63889,1.70605,53.15972,7.00694,70.59559,63.52504
416,3,2,53.12731,1697.32870,32.17378,137.79514,1.77348,73.40972,15.90278,99.57271,77.85649
417,3,1,11.58333,10912.73611,14.26844,38.86806,2.75215,59.22222,9.73611,790.36683,1881.92865
418,3,1,527.50463,12359.31250,441.87638,1737.22222,3.50671,112.75000,17.56250,749.58619,895.93525
419,3,2,14.65625,463.66898,13.03601,41.61458,1.61600,26.51389,4.09028,28.13766,16.71987
440,3,2,19.34144,572.31944,14.88650,50.92361,2.76882,28.55556,9.68750,35.34150,19.17757
441,3,2,45.36574,1537.65509,29.80470,138.24306,0.69076,56.04167,27.20139,101.38807,95.02086
442,3,1,19.13426,326.43750,12.34167,32.19444,3.95691,12.38889,3.17361,19.87541,15.21201
443,3,1,49.64815,2670.53241,38.30957,127.75000,3.18854,167.69444,44.15972,170.29453,112.12843
444,3,2,44.21644,1342.67593,25.01696,130.16319,2.68687,31.13889,10.02778,103.59926,146.61237
445,3,1,120.46528,3108.16898,54.25310,203.30903,3.40969,175.86111,11.09028,217.91176,208.66794
446,3,1,88.66435,2937.43519,41.94727,146.86458,3.11312,32.88194,14.40278,212.11275,319.43383
447,3,2,14.56597,1261.45370,15.33322,42.01736,0.88623,36.34722,13.56250,88.66503,118.73491
448,3,3,7.27160,259.97685,8.70690,27.16319,1.54369,14.31250,5.95139,16.23366,9.00944
449,3,2,16.69213,605.96759,18.32451,50.43056,0.66131,36.04861,15.72222,39.05637,19.13698
470,3,3,11.88117,496.18519,12.97249,37.09028,0.72050,24.90972,12.93750,29.83374,12.00531
471,3,1,5.40278,196.81944,6.19702,12.25694,3.11232,12.04167,4.51389,12.99060,7.97325
472,3,2,84.73958,2434.53704,38.76257,250.23958,0.59336,66.84722,10.27778,147.24796,168.09778
473,3,3,12.37423,612.87500,13.39680,45.31944,0.72167,35.90972,19.13889,37.76103,16.20547
474,3,1,22.25231,377.67593,14.00778,34.30903,3.68777,16.77778,7.88194,23.72100,16.92649
475,3,2,17.94213,849.92130,17.79659,64.93056,0.76700,45.95139,24.71528,52.53186,21.81042
476,3,2,81.15046,3350.80324,72.44152,497.30208,2.64594,58.06944,11.76389,212.07843,231.37899
477,3,3,21.55478,1160.43056,17.26614,124.36111,0.59693,49.57639,22.16667,71.34967,57.37260
478,3,1,13.72685,1639.07870,14.87377,44.34028,2.81120,54.18056,24.84722,167.15319,374.50556
479,3,3,10.28704,370.02546,10.52622,34.52778,0.50000,12.63889,5.41667,21.49673,16.13900
500,3,1,16.19676,205.63657,9.74341,20.69097,3.49899,10.08333,2.25694,13.15645,11.50581
501,3,3,17.46528,678.59028,14.14207,67.29167,0.64260,26.69444,18.08333,41.22998,28.39666
502,3,1,1927.58102,21659.10648,783.49707,3107.12847,3.05227,225.25694,13.75000,1215.27737,2095.42219
503,3,2,200.96875,4992.24306,84.75154,620.02083,0.50000,76.41667,17.62500,295.21569,384.84898
504,3,3,42.79630,1514.46991,22.56614,195.36806,0.50000,21.61806,6.56250,85.61193,122.40325
505,3,2,39.08796,1378.20602,31.03041,110.91319,1.80341,79.90972,17.55556,84.35498,50.36630
506,3,1,31.12500,579.90509,17.63367,53.25000,4.07898,23.43750,8.25694,35.64216,26.23432
507,3,1,7.31713,2557.23611,11.13044,24.87847,1.91519,30.95833,15.50694,235.87908,436.36755
508,3,4,9.98264,406.44907,11.42090,34.34375,0.68727,22.45139,10.28472,26.39828,11.59290
509,3,3,115.67515,4766.21528,89.19195,508.90972,0.50000,168.87500,13.98611,274.86601,285.52434
530,3,2,23.00694,710.45602,17.56049,66.90278,2.77249,32.89583,7.44444,42.85049,30.05687
531,3,3,19.15818,628.80556,15.46423,54.94792,1.78997,34.88889,5.17361,37.35580,25.27900
532,3,1,144.32639,2349.51157,60.71468,220.32986,5.24606,60.27083,1.84028,139.58538,150.34759
533,3,2,117.08102,5633.37269,73.52483,448.93750,0.50000,204.52778,91.19444,372.15400,291.87557
534,3,3,5.17284,558.39352,10.87359,36.39583,0.50000,34.44444,24.95139,35.46324,8.41270
535,3,2,9.60880,1926.58796,25.58918,136.85764,1.20394,59.31250,15.86111,137.83415,175.39784
536,3,2,330.73032,15839.67593,455.08281,1888.28472,0.50000,774.54861,40.88194,995.58292,883.24223
537,3,2,54.44907,1677.80787,36.07671,192.45833,0.64225,71.47222,9.79167,104.13317,95.56066
538,3,2,14.74306,662.65509,17.00304,88.50694,0.94386,22.48611,6.43750,41.93219,35.13992
539,3,3,19.56096,1105.09722,22.39196,87.51736,0.50000,65.18750,17.00694,66.43505,33.17740
