,Type,N_peaks,Media_proem,Area,Width_peaks,Width_peaks_max,Width_peaks_min,Median,Mode,Mean,Sd
337,1,2,39.04514,2041.47917,19.73921,108.33681,0.59910,17.32639,8.52083,154.31822,291.38097
338,1,1,243.67130,5189.30093,261.75738,1016.72917,2.11963,75.54167,1.55556,341.95057,428.84439
339,1,2,40.23264,1164.97685,25.16290,107.09722,1.80835,60.16667,6.40278,73.75082,61.08818
360,1,1,5.94444,3563.32639,6.36458,10.50000,1.94286,4.87500,1.40972,295.12459,613.66044
361,1,2,24.06019,753.01389,30.62101,188.11806,0.50000,22.72222,1.68056,48.95874,64.44587
362,1,3,17.82099,1086.39583,26.49263,102.16319,0.66494,86.29167,6.06944,64.68015,41.91888
363,1,2,8.28588,165.24769,6.50493,12.50694,1.00595,6.97917,3.48611,11.88971,12.50529
364,1,2,9.65625,768.98611,12.88585,44.07986,2.76117,23.40972,10.88194,85.72018,236.38918
365,1,2,36.27778,6044.85417,87.29427,636.06944,1.39051,136.25000,4.47222,411.42606,483.59858
366,1,1,66.12269,2837.04398,69.44735,252.42014,3.01151,185.57639,8.72917,189.76879,151.67335
367,1,3,25.33951,1842.54630,40.50950,195.96875,0.68040,99.80556,31.10417,115.41503,62.82758
368,1,3,91.34491,3155.27315,43.78999,438.78125,0.83866,18.27083,3.34028,177.19975,295.69588
369,1,2,11.07060,9138.27315,139.60294,1079.13194,0.69375,542.29167,3.63889,576.41217,529.90261
390,1,2,85.28009,3708.44676,59.24493,315.17708,2.48303,170.49306,8.59028,288.75082,398.23703
391,1,2,89.69213,2775.42130,57.51120,213.99306,1.60315,171.10417,8.09722,169.46855,118.98262
392,1,2,312.29051,18369.86806,649.68939,4643.17708,0.50000,244.60417,5.45139,1172.34109,1708.83483
393,1,1,664.62269,7432.21991,259.14233,1012.82986,3.30154,88.11111,15.54167,464.22059,611.08918
394,1,3,34.67670,3136.73611,79.29820,843.83681,0.51052,33.29167,21.38889,212.04493,323.48347
395,1,3,13.51775,947.09491,27.52071,196.79514,0.50000,48.11111,8.79861,64.22263,59.54882
396,1,2,7.60069,591.21528,9.84424,20.59722,0.53803,19.63194,7.19444,43.47876,67.81215
397,1,3,108.28704,8981.84028,255.08806,2611.46181,0.50000,146.94444,3.40972,618.31536,949.23257
398,1,1,30.70833,676.35185,17.44816,57.40972,3.04928,19.22917,5.95833,56.17034,96.01711
399,1,2,66.42940,3773.69213,81.34150,431.81250,0.86210,169.71528,4.75694,235.03391,206.57691
420,1,2,147.72569,7438.21296,218.10448,1682.93750,0.56100,28.95139,11.38194,474.68832,714.06126
421,1,3,7.88889,432.83333,14.16993,80.11111,0.63776,16.88889,7.46528,29.83864,26.11029
422,1,3,16.53395,1566.92824,10.76539,61.49653,0.57955,54.19444,4.83333,104.50041,125.44559
423,1,1,6.16667,1574.19907,12.97802,44.37500,1.28013,49.12500,4.37500,105.79534,110.68236
424,1,1,26.69676,618.40741,21.24584,57.94792,3.75261,42.91667,4.72222,42.12173,34.12083
425,1,3,14.52160,556.02546,16.57085,91.67708,0.60526,14.61111,7.25000,35.93913,32.07714
426,1,2,23.31713,1170.63889,24.33963,102.62500,1.06615,80.36111,6.38194,77.86560,63.98217
427,1,1,23.19213,1582.87269,14.20671,48.36458,1.23188,69.56250,7.65972,108.94322,127.19859
428,1,2,85.79861,3127.94213,66.93072,465.54861,0.63959,35.00694,4.61806,216.93587,273.84414
429,1,1,5.72685,2265.30787,6.97049,9.50000,0.97753,12.79861,3.72222,175.82026,302.37314
450,1,1,224.22222,2593.29630,94.47265,350.63889,3.04675,11.25694,2.09722,171.53227,269.47434
451,1,2,83.72454,3333.65278,96.77553,584.65625,0.53718,112.95833,2.46528,209.30964,232.60942
452,1,5,7.85787,257.55093,9.27745,36.55208,0.50000,12.95833,4.52083,16.53554,10.16128
453,1,3,27.70602,1686.02315,21.19332,127.81944,0.61890,48.68056,18.04167,110.37459,97.73114
454,1,3,56.00077,4173.31944,107.57197,1045.61111,0.50000,126.51389,13.26389,275.95833,377.10771
455,1,0,0.00000,1211.64120,0.00000,0.00000,0.00000,20.04167,7.07639,88.92974,135.38337
456,1,0,0.00000,3959.41435,0.00000,0.00000,0.00000,84.31250,2.94444,338.50531,520.15282
457,1,2,15.80556,374.90509,11.27357,34.97569,1.39779,14.72222,2.35417,22.21405,19.80945
458,1,2,281.01968,6600.56019,140.67520,874.14236,0.52583,104.48611,12.68750,367.38562,556.47535
459,1,2,87.51505,2227.46528,44.61760,249.60764,0.51135,75.11111,16.51389,131.77165,146.67540
480,1,2,37.82060,1735.49769,28.95382,143.62153,2.43219,72.47222,27.36111,119.97141,80.74627
481,1,2,143.37269,8238.23843,307.21782,2297.64583,0.50000,144.97917,9.21528,535.22059,825.84897
482,1,1,3.15741,7648.45602,4.08445,9.97222,0.68280,113.75000,3.52778,531.51266,781.64753
483,1,1,54.48611,2437.83565,33.57839,105.73611,2.98312,34.00694,3.11111,174.48325,319.55595
484,1,2,96.71759,5391.74306,160.77071,934.04167,0.50000,247.90972,17.54167,343.48080,295.17093
485,1,0,0.00000,5623.88889,0.00000,0.00000,0.00000,139.81250,26.90278,446.42688,753.47458
486,1,2,53.38773,2245.41898,47.80764,215.56944,0.68681,118.90278,9.63194,153.02328,132.02881
487,1,2,64.42361,3241.53704,57.44236,252.95833,1.37954,185.71528,21.39583,197.00613,110.13771
488,1,2,261.46181,4802.71296,108.21823,524.74306,2.99743,63.50694,4.47917,298.29085,372.60151
489,1,2,5.64468,1348.23843,60.52576,443.05556,0.50000,15.23611,4.75000,93.27492,148.77598
510,1,2,25.54977,1040.91898,18.28781,67.66667,2.90537,46.96528,11.23611,67.36560,51.58090
511,1,2,310.30787,7759.71296,153.13474,750.36111,2.00925,228.88889,27.06944,458.73039,436.48180
512,1,2,127.44792,5392.62037,164.87149,946.05556,1.24975,292.88889,15.97222,347.55923,331.82308
513,1,2,31.45255,4567.51620,98.48568,533.07986,1.13892,257.11806,43.22917,313.82516,202.01353
514,1,3,90.34722,3149.20833,52.32307,261.47222,0.58729,109.20833,22.46528,194.23897,154.54470
515,1,2,209.70023,5814.04861,114.26550,451.71875,1.54279,277.76389,28.01389,364.05229,272.82962
516,1,2,18.59954,1389.77315,13.11388,52.68403,1.21547,17.15278,8.90972,94.66258,178.75192
517,1,2,84.59028,2919.05556,40.38564,254.63889,0.65651,84.90278,7.00000,220.45629,311.84556
518,1,3,46.45988,3085.96991,67.77816,522.66319,0.52923,88.20139,22.01389,196.93954,205.93229
519,1,2,17.08912,564.78472,13.98097,38.61806,2.95281,31.61806,7.49306,40.85090,41.73761
10,2,2,49.52199,5772.84028,74.69502,292.77778,2.78669,254.92361,90.68056,602.32884,1202.57734
11,2,3,17.78627,4162.46759,45.22761,203.30903,1.50000,170.06250,84.27083,358.18546,592.04417
12,2,2,194.14352,17067.23611,491.36074,3306.77083,0.60617,595.46528,116.14583,1091.30842,1151.77750
13,2,2,35.47222,11629.91435,95.57557,414.94792,1.50000,404.52083,80.63889,814.25123,1200.38111
14,2,2,135.22454,11800.69676,223.97609,1025.52778,0.61586,796.38889,37.90278,724.79412,301.43425
15,2,2,147.78356,8343.80324,194.81515,937.92361,1.26989,463.08333,108.01389,538.57557,318.68196
16,2,2,54.94907,4011.81944,48.63330,262.04514,2.41755,214.43750,59.31944,273.65564,203.82745
17,2,2,23.24653,5831.94213,47.52156,221.90278,1.68250,185.47222,55.33333,521.74183,845.97125
18,2,1,16.04630,6023.17130,16.77036,44.07639,3.27542,35.89583,10.12500,521.82435,1071.52013
19,2,1,29.12037,1102.61806,23.46909,78.58333,2.73048,62.82639,13.65972,79.33783,69.72698
40,2,2,33.97917,21931.21991,161.83941,1127.51736,0.85824,636.42361,66.22917,1503.84069,2378.02015
41,2,1,775.17130,13172.27546,319.53974,1255.04167,4.86868,493.03472,32.70139,819.69771,814.12038
42,2,3,16.90664,2776.89815,81.54695,648.49306,0.50000,96.65278,34.40972,187.17606,196.57671
43,2,1,33.48148,1362.01620,28.88164,94.97917,4.47705,90.76389,40.25000,88.11724,30.18217
44,2,1,91.00694,3103.92593,83.57387,307.24653,3.94993,180.73611,31.81944,197.21895,133.29367
45,2,2,18.36458,1579.07176,28.39406,95.59028,1.56330,87.22222,40.57639,113.11315,107.58839
46,2,3,80.82099,13329.58102,252.61114,1552.28819,0.65251,1027.88889,74.13889,820.49959,642.01689
47,2,1,100.22685,2043.29398,48.21035,170.09028,3.61258,96.37500,22.73611,128.23162,98.48446
48,2,1,9.54630,3382.37037,46.28646,158.14583,0.60139,81.09722,13.58333,244.69322,319.22131
49,2,3,19.30324,3164.88426,53.51051,323.96875,0.50320,65.61806,0.34028,233.68995,297.78449
70,2,2,66.45602,16328.02778,384.36097,2929.42014,0.50000,205.00694,96.90972,1150.21773,1414.64828
71,2,3,43.81404,5527.39583,63.81145,580.70139,0.77664,106.04861,31.38889,441.85090,568.48961
72,2,0,0.00000,8057.96065,0.00000,0.00000,0.00000,341.42361,35.56250,654.86356,999.10765
73,2,3,1219.61960,71771.98843,1034.57088,5070.08333,0.54512,2682.80556,133.12500,4923.80351,4457.84596
74,2,2,28.51620,6364.17361,85.21712,540.13542,1.59769,237.52083,48.47222,471.95547,617.22131
75,2,2,23.05324,4896.53704,48.27545,265.85069,0.50000,148.89583,22.66667,328.12377,341.78561
76,2,2,351.70255,10625.31019,195.00791,1046.15972,0.50000,514.84722,46.29167,639.33415,569.20266
77,2,2,30.06829,19955.11111,20.97148,69.84028,2.52611,103.96528,23.39583,1381.36479,3246.73666
78,2,2,30.31366,5369.02315,38.04713,144.59028,2.40127,116.02778,57.89583,389.03717,604.18067
79,2,2,219.88079,13482.45602,243.21428,1527.95833,1.79159,446.17361,96.18056,878.24346,711.22943
100,2,2,301.57176,8982.77546,148.80098,968.10764,0.50000,200.22917,17.09722,592.10825,636.73402
101,2,1,443.46991,21782.34028,1211.33915,4814.40625,1.92639,214.81250,14.09722,1425.00041,1952.21759
102,2,2,8.71644,1292.61574,18.54958,81.00694,0.85288,61.15972,11.50694,92.25368,93.75655
103,2,2,498.63426,17483.54630,479.90640,3265.18403,0.50000,366.81944,19.59028,1035.79126,1549.77429
104,2,1,17.24537,5711.84491,68.30903,246.23611,0.60682,230.86806,14.34028,454.99469,648.11171
105,2,2,9.56366,4610.96759,77.48585,552.42708,0.50000,285.04167,32.73611,317.35989,280.21535
106,2,3,60.76312,8676.65741,221.89970,2326.52778,0.58493,155.63889,28.13889,576.79739,833.98684
107,2,2,110.05208,13336.97917,385.51810,2647.18750,0.50000,709.97222,63.96528,905.39093,856.66699
108,2,3,8.66358,2324.22917,52.16123,456.28125,0.50000,84.85417,26.09722,187.29534,269.97431
109,2,0,0.00000,4339.77315,0.00000,0.00000,0.00000,157.29167,29.47917,294.05964,296.10886
130,2,1,11.44444,6982.25926,91.25819,360.71528,0.65875,172.73611,53.74306,506.31005,654.05509
131,2,4,20.20197,2073.07870,51.38359,259.05208,0.50000,137.40278,19.56250,135.90727,80.31566
132,2,3,10.71373,1460.62500,44.69411,340.88889,0.50000,57.79861,28.39583,97.01307,93.29026
133,2,4,24.99884,6561.96991,148.51006,1653.53472,0.50000,216.45139,59.79861,451.44526,574.55550
134,2,2,509.41782,10231.11806,212.22012,1559.13889,2.51390,104.35417,31.47222,733.05596,1120.26555
135,2,2,12.78588,4259.07176,123.20991,850.48611,1.17010,110.68056,24.84722,294.10172,382.64160
136,2,2,312.28588,11604.96065,222.02884,1665.01389,1.58857,262.13889,46.42361,892.16054,1173.96578
137,2,2,220.53819,12108.24537,179.15854,1248.68750,2.62188,218.13194,75.18750,1136.04371,2246.33501
138,2,3,37.81404,2623.70833,40.00763,292.68056,0.84372,92.74306,44.79861,174.35417,146.94819
139,2,2,32.66782,7343.06019,39.27365,205.40625,0.54748,148.88194,10.31944,583.01838,871.96440
160,2,2,525.37847,11968.59259,219.90951,1588.52778,0.51471,128.54861,10.15972,903.97059,1150.92334
161,2,2,47.84259,5648.74074,66.53531,338.51736,2.36233,265.35417,52.96528,394.15319,439.28061
162,2,2,31.11690,4767.45833,39.19722,158.84375,2.65448,142.94444,73.94444,369.87010,645.41857
163,2,2,62.04745,2655.26389,41.73954,224.02431,1.97253,73.31250,31.74306,201.71283,297.13532
164,2,4,132.75000,13663.80556,345.63759,4040.67708,0.55293,227.91667,41.62500,899.65645,1259.32282
165,2,3,119.84954,25061.34028,593.04801,4802.05556,0.50000,945.31944,157.49306,1633.89011,1503.85211
166,2,2,160.81481,8202.98611,108.08651,661.13194,1.94206,272.27778,3.71528,779.91830,1496.97405
167,2,2,73.43287,15389.57870,73.65053,275.33333,2.61821,340.22917,132.01389,1124.21446,1649.36465
168,2,2,255.95139,9532.04167,105.67798,769.38542,1.65967,264.61111,5.19444,610.96855,780.40547
169,2,2,10.83102,3563.37731,78.60243,369.04514,0.54849,198.24306,28.29861,245.74796,243.65372
190,2,2,32.16551,5222.08333,83.74669,592.84375,0.50000,125.87500,24.63889,352.46201,366.86864
191,2,3,255.65972,20725.39352,327.26040,1792.18750,0.62383,1042.90278,16.52778,1391.84109,1384.54543
192,2,2,250.83912,10371.36343,271.84114,1629.44444,1.63448,464.90278,121.98611,651.21160,552.53533
193,2,2,397.66551,11954.25000,214.87448,1104.28472,2.28248,476.57639,56.36806,691.69240,577.36500
194,2,2,265.44444,13906.92130,169.74623,1249.40625,2.65234,89.57639,17.40278,977.77533,1221.68222
195,2,1,8.59028,6802.94213,26.55957,97.25347,0.99241,105.13889,16.48611,667.90931,1202.78363
196,2,2,10.36574,5929.54398,17.92796,50.83333,0.55280,206.45139,24.67361,473.13235,604.76788
197,2,3,58.75772,8081.86343,83.72079,555.34722,0.50000,113.59028,17.82639,1006.37868,3105.39402
198,2,3,57.94676,3236.56481,48.86670,432.05208,0.61780,73.84028,39.46528,197.38562,210.84952
199,2,1,191.03704,13428.58102,816.90972,3236.63889,0.77948,376.46528,43.06250,880.15441,1106.73073
220,2,2,152.19907,9206.56481,240.92408,1133.50000,0.53920,286.26389,35.81250,608.25531,639.18668
221,2,3,174.66435,7637.90278,133.73425,687.17361,0.85576,366.66667,54.69444,465.51920,322.01203
222,2,2,54.97685,4446.15278,69.38051,375.81944,2.43360,173.00000,58.77778,310.36438,221.29138
223,2,1,90.37269,6878.20833,61.43733,229.69097,3.05918,319.92361,22.10417,486.30596,531.00957
224,2,3,57.02932,3016.95370,57.55684,309.54167,1.99767,120.78472,48.12500,189.22835,127.56807
225,2,3,198.21373,10551.51389,187.54755,1095.81597,0.97822,513.01389,67.09722,619.71936,550.37879
226,2,3,320.05633,17959.47222,333.52989,2591.02431,0.50000,440.13889,21.22222,1309.46814,1542.23735
227,2,3,5.44753,4614.75926,46.31959,416.86458,0.50000,57.95139,30.79167,335.14175,526.38134
228,2,3,276.01080,10254.62731,147.87787,1402.68403,0.62829,167.05556,18.18750,579.54208,831.47019
229,2,2,27.20023,4770.68287,43.84183,163.87153,0.71605,160.23611,18.38194,515.07230,1148.92120
250,2,2,545.23380,35754.19444,367.26027,1894.24653,0.69014,966.63194,152.86111,2396.62827,3292.49174
251,2,3,158.45062,15125.11343,464.51359,2728.80903,0.60930,141.97917,37.06250,973.67606,1149.78506
252,2,1,23.91898,2203.60417,74.81858,268.27431,0.86691,71.22222,6.81250,149.58007,146.79190
253,2,2,13.71065,7281.43056,123.07277,938.49306,0.54632,70.35417,12.25000,486.34804,836.10821
254,2,2,77.87500,9719.81019,65.69237,443.89583,1.75366,145.01389,20.57639,727.43260,1308.74273
255,2,2,302.90625,12571.42593,131.41019,941.91667,2.29761,97.45833,5.24306,807.63930,1189.72071
256,2,3,12.33951,4811.47454,148.22018,1690.53819,0.50000,80.18056,8.34722,326.68546,524.34751
257,2,2,31.49653,5652.67593,81.01926,504.84028,0.54364,106.96528,15.22917,407.30801,606.95015
258,2,2,64.96296,6252.30556,178.22631,1191.10069,0.50000,233.91667,36.55556,401.37418,377.54133
259,2,1,411.40509,18456.56944,201.04599,787.53125,2.96575,279.56250,28.94444,1328.23448,2081.86595
280,2,2,400.06944,24353.88657,170.92269,1262.76736,0.57535,166.23611,2.05556,1803.88766,3013.47663
281,2,2,66.35185,11910.97685,122.43385,555.23958,0.59527,353.45833,31.41667,943.69322,1595.72988
282,2,1,61.31944,3019.18519,79.12541,288.14583,3.69934,146.72917,23.43750,226.35784,250.98598
283,2,1,28.71065,4532.79861,24.34781,82.99653,2.64608,127.86111,36.75000,372.33415,618.47352
284,2,0,0.00000,8509.54630,0.00000,0.00000,0.00000,264.81944,16.90972,588.80596,986.04459
285,2,2,110.96528,5558.06944,74.10702,399.29514,1.16054,230.95139,95.65278,431.04412,579.77404
286,2,3,142.43904,15253.19907,114.58611,1091.86111,0.93434,204.66667,29.04167,1124.43342,1811.70539
287,2,2,64.27546,7795.50694,84.74219,562.48264,0.69616,75.30556,12.62500,648.62132,1450.16277
288,2,2,48.77431,8860.21296,150.75721,1118.54861,0.72563,103.09028,40.77778,912.26266,2249.45963
289,2,1,13.45139,7910.04398,14.15371,40.89931,2.88917,55.07639,19.02778,620.15727,916.56986
310,2,1,39.46065,3212.67593,28.48643,88.64931,3.39210,99.70833,25.56944,227.68015,353.84856
311,2,2,31.69907,2617.10880,49.54207,242.76389,0.50000,143.68750,12.97222,172.29126,146.78164
312,2,2,6.81481,1515.29167,84.71788,618.84722,0.50513,13.39583,6.31944,108.76144,196.52701
313,2,2,46.87731,4790.39815,127.61994,877.57986,1.84284,105.94444,43.30556,300.98693,326.28859
314,2,2,107.05556,8532.55556,230.01042,1628.29861,1.31028,190.08333,44.16667,552.40850,631.51018
315,2,1,135.68287,3188.18981,81.27184,316.74653,0.76259,119.97917,38.93056,193.23938,150.19239
316,2,2,79.66898,6525.84954,215.33972,1020.27778,0.61335,252.97917,56.63889,427.43505,364.18619
317,2,1,42.90741,3116.67824,41.96307,155.97222,2.39618,135.51389,47.84028,285.35376,516.84634
318,2,3,9.81790,1110.30787,32.89202,241.90972,0.74421,55.37500,8.64583,75.13154,75.98301
319,2,3,163.77006,10108.56481,170.31604,893.72569,0.89063,499.99306,164.77083,623.82516,373.04516
340,2,2,20.64815,3235.44213,42.06104,206.15972,1.84112,115.36806,16.32639,238.78962,286.19655
341,2,1,11.72454,12971.31481,17.82861,55.71875,2.07494,58.18750,37.80556,912.72100,1512.32721
342,2,3,39.91204,27616.87037,920.12457,9021.11806,0.50000,661.23611,30.44444,1977.35539,3271.33458
343,2,1,470.77083,14558.30556,968.40712,3842.62847,1.61800,194.70139,13.70833,953.75940,1488.93292
344,2,1,7.94907,7293.31250,14.69817,44.68056,2.23377,50.10417,12.81250,917.24673,2867.45508
345,2,4,159.82176,8263.62963,113.38013,1018.69444,0.52032,94.90972,31.27778,480.15891,665.58417
346,2,2,42.01968,2916.11343,51.03493,273.96528,1.64667,155.17361,27.06250,217.25082,193.23855
347,2,3,79.60108,14350.96759,368.24478,3692.95833,0.79439,368.20139,0.55556,996.85580,1282.85917
348,2,2,2354.33102,74207.72917,925.39796,6888.28125,2.59430,561.50694,0.59722,4547.63807,6324.89510
349,2,1,5.82407,5179.08565,18.56250,55.25000,0.55818,73.24306,28.95833,383.51144,524.58476
370,2,2,48.69560,4234.53935,128.82175,922.24653,1.51263,69.02083,43.88889,323.15850,430.37546
371,2,3,23.60648,1638.84028,31.26811,186.36806,0.61482,97.86111,14.43056,109.17933,87.94665
372,2,3,38.34954,3267.39583,88.15474,917.01389,1.08188,42.70833,15.61111,214.28268,324.37802
373,2,1,178.48148,12248.03009,727.88021,2880.52083,1.06370,300.25694,21.64583,801.42892,1032.07081
374,2,2,42.38657,3735.42361,76.83520,423.34375,0.98162,212.62500,56.38194,236.67075,140.27117
375,2,2,14.30208,1185.02315,20.90211,80.79514,1.00671,67.68750,16.56250,78.09559,61.75298
376,2,2,35.73958,8368.23611,165.75654,1084.87847,0.51484,206.45833,118.38194,695.06699,1279.67596
377,2,4,10.50926,1003.35185,20.74764,85.14583,0.51161,65.09028,17.85417,73.84681,56.35575
378,2,1,274.64120,7387.51852,139.03668,526.72569,6.96907,435.54861,116.65278,441.80882,261.11486
379,2,3,15.67670,1851.44907,24.54662,94.29514,0.86883,84.17361,49.68056,155.66953,266.92860
400,2,0,0.00000,30161.84491,0.00000,0.00000,0.00000,150.36111,61.76389,2218.99877,3683.55463
401,2,2,106.45023,7959.93287,154.29740,625.58333,0.50000,521.71528,20.43056,589.09518,564.86111
402,2,3,78.68287,7936.88426,193.44794,2179.54514,0.94979,53.86806,31.01389,521.56985,823.40274
403,2,1,34.02315,7050.63426,46.60731,163.17361,2.47693,155.88194,29.68056,580.90972,930.09779
404,2,3,10.89738,1583.44213,14.98934,72.76042,0.61514,45.00694,21.38194,188.05515,442.67323
405,2,0,0.00000,3726.37269,0.00000,0.00000,0.00000,66.54861,15.79167,348.72508,724.22176
406,2,2,5.68403,3549.87269,62.37418,417.53819,0.50000,73.62500,14.50000,333.40114,702.15924
407,2,4,72.70544,7832.21991,188.61156,2038.94444,0.50282,158.70139,17.25000,496.42443,662.90234
408,2,2,18.81829,1298.48148,16.59337,55.31250,1.46102,36.88889,15.00000,157.42688,367.71039
409,2,2,165.02315,6043.18750,102.57011,459.74306,1.82917,279.44444,46.08333,382.78391,290.58012
430,2,3,146.97840,17896.34954,526.83043,5211.46181,0.50000,379.91667,64.16667,1191.96201,1715.10382
431,2,3,8.84182,3152.23380,116.03464,1293.74306,0.50000,39.93056,7.41667,231.51471,420.40966
432,2,2,21.82986,1091.22454,20.77780,63.34722,0.60677,55.26389,6.09028,90.21732,124.54847
433,2,4,32.88889,2627.44676,42.64773,529.73958,0.67338,29.05556,19.11806,187.73489,256.37160
434,2,2,6.62269,1491.29861,8.72811,18.98611,0.74384,20.22222,8.93056,110.55351,183.47931
435,2,2,9.19907,1998.76389,13.75009,44.25347,0.71912,33.27778,16.86111,190.04984,386.39573
436,2,2,7.79861,7739.88426,17.89149,50.90278,0.53445,54.81944,14.06944,555.39175,966.87871
437,2,1,6.65046,4771.89815,8.79167,17.69097,1.23785,56.50000,15.44444,342.13358,636.67409
438,2,2,19.25810,5800.79398,29.29975,155.07986,0.85325,115.65278,35.86806,538.34722,944.64595
439,2,4,17.24942,8864.18056,228.38464,2829.85417,0.50000,161.25694,7.17361,651.77492,1023.64806
460,2,3,5.14660,4906.62269,5.86804,18.88542,0.52624,13.06250,3.88889,413.16136,967.99577
461,2,2,12.39352,1182.21065,12.23426,27.09722,0.59773,34.34722,11.97222,102.49551,161.68060
462,2,2,63.34028,3397.40046,104.22867,724.64236,1.50000,74.79167,8.90278,223.17484,282.14775
463,2,1,89.02778,1646.34954,66.67347,236.69444,2.87814,51.52083,6.70833,110.59600,120.55524
464,2,1,71.29861,5932.09028,38.88588,135.89931,3.29192,89.31250,32.59722,450.70057,921.95463
465,2,2,12.73264,1473.50000,29.77496,176.54514,0.50000,53.64583,14.00000,102.58824,119.79675
466,2,2,69.52315,6121.95833,56.90326,337.49653,1.89935,163.85417,40.56944,426.51879,634.57923
467,2,2,8.55093,1838.24537,14.53614,50.60069,0.84606,46.61806,20.34028,133.55923,199.74623
468,2,4,26.94907,4604.33565,114.98000,1319.48264,0.54877,85.70139,19.16667,322.63725,433.06022
469,2,3,14.08410,2018.94907,65.23512,444.67708,0.50000,35.57639,10.69444,139.73407,158.97727
490,2,1,20.53241,584.21991,17.61097,44.70139,2.33112,29.08333,8.97222,44.01797,43.66431
491,2,1,11.81250,7328.75694,16.47445,48.29514,1.86156,47.18750,12.61111,517.97141,1172.45202
492,2,3,10.17052,1718.55556,11.20272,30.07639,0.78782,29.39583,11.27778,172.21814,383.42612
493,2,2,131.14815,9054.55787,67.86261,487.83333,0.55015,326.56250,14.37500,660.10989,767.36000
494,2,2,16.36343,1757.95602,11.82129,29.46181,2.97987,31.31250,8.25694,210.42688,588.31523
495,2,4,12.05845,1484.95370,21.68789,148.60417,0.50000,74.35417,13.70833,123.97835,201.82516
496,2,1,6.35880,4604.58102,14.38319,43.51736,2.50770,47.34028,13.68750,405.63276,834.45562
497,2,2,10.37384,1617.42593,18.26779,67.91319,1.90873,64.35417,31.32639,138.15686,237.62196
498,2,3,9.90432,891.47454,11.76004,31.31597,0.59790,30.50694,10.27083,76.48775,127.06379
499,2,4,8.37847,3314.05324,18.22974,79.20139,0.58331,64.00000,30.08333,350.09722,705.67312
520,2,1,373.89583,10156.00000,361.40248,1414.92014,2.30486,220.89583,97.69444,721.42851,849.16154
521,2,2,149.73958,4037.24306,66.74346,448.20833,0.71611,55.56250,20.62500,310.35825,515.24011
522,2,3,8.26235,2088.28472,23.36980,109.61111,0.53067,68.84722,26.72222,194.04126,446.92826
523,2,3,11.52083,5143.06713,30.48216,149.17708,0.57104,138.14583,26.43056,384.34150,519.21634
524,2,2,57.07060,2745.66898,50.90149,233.67014,0.75120,130.23611,28.42361,185.47181,154.85680
525,2,2,89.09954,9760.03009,409.93326,2907.49653,0.56731,253.15972,22.06944,686.42525,998.02416
526,2,1,9.19213,2362.50694,10.83029,24.82292,1.99349,52.27778,17.23611,171.28350,223.19072
527,2,3,30.01775,5972.94907,41.62099,301.87153,0.50000,227.91667,73.62500,394.58824,483.83595
528,2,3,11.20448,870.45139,14.50149,56.45833,0.83555,35.17361,15.67361,82.93627,141.54066
529,2,1,9.03935,788.81019,19.07031,49.28125,1.78713,44.04861,9.90972,59.35294,63.62586
20,3,2,78.32986,2084.71759,46.40190,240.50694,1.65308,60.76389,18.26389,120.75531,140.74172
21,3,2,195.98148,5415.57407,93.98015,643.44444,0.73615,83.84722,22.89583,321.67239,402.51133
22,3,2,76.68287,3314.24537,52.27335,258.83333,0.51862,136.15972,29.88889,207.91095,182.98293
23,3,2,89.02199,3402.56481,48.36124,295.16667,0.72098,136.19444,41.90278,209.53554,164.82676
24,3,2,52.34606,1278.17824,32.59485,142.56597,3.01467,47.93056,3.28472,77.50531,74.51836
25,3,1,176.43750,3749.69907,84.04475,312.96875,3.98753,216.67361,31.19444,234.62990,177.85335
26,3,3,131.34028,6108.78009,92.08927,624.89236,0.50000,281.70833,61.22222,371.17851,340.03005
27,3,3,7.51929,2762.60880,16.69763,62.33333,0.70303,58.31250,25.45833,192.93015,288.28805
28,3,2,365.84606,12698.44213,186.30068,1224.32639,1.16825,231.22222,6.89583,768.40850,895.30670
29,3,4,53.96296,3116.56481,46.70312,357.86458,0.63342,118.13194,41.45833,183.72018,188.24166
50,3,1,44.09722,2704.78935,24.45980,79.31944,4.18023,93.15278,16.75000,204.65441,345.76635
51,3,2,45.44329,3953.19444,94.34607,564.46181,1.36428,198.90972,64.30556,251.54330,173.18702
52,3,3,309.05015,20242.00694,359.28155,1737.69444,0.50000,1325.16667,240.79861,1235.66217,571.94241
53,3,3,62.20216,5543.30324,147.86524,1399.82292,0.57121,267.61111,33.52778,354.23775,412.03764
54,3,3,18.70910,645.55556,14.32398,62.13889,0.50000,27.01389,7.58333,38.43423,31.08356
55,3,3,63.95216,14293.72222,160.79206,934.88889,0.50000,560.54861,151.36806,951.87582,1231.51402
56,3,1,7.78472,616.56481,9.60156,13.40625,1.53957,15.58333,4.54167,49.38685,82.53425
57,3,2,17.94329,1638.99074,20.13503,63.03472,1.58157,63.78472,11.00000,110.42565,119.45140
58,3,2,250.30093,8639.24306,154.26297,1136.63194,1.29681,85.12500,21.43056,519.12541,628.23682
59,3,3,156.38657,12310.70139,240.58598,1425.21181,0.55028,518.61806,30.99306,746.12582,511.09338
80,3,2,441.36343,10833.88426,210.73677,1435.82639,0.55700,317.12500,20.16667,676.17198,818.99250
81,3,2,361.41667,16190.09954,233.04061,1220.49306,1.27639,705.47917,35.22917,977.17525,677.07598
