,Type,ASM,constrast,correl,variance,inv diff mom,sum aveg,sum var,sum entropy,entropy,dif var,dif entropy,IMC1,IMC2,colors
0,3,0.05393,104.13317,0.25526,84.04699,0.15796,313.41667,232.05481,3.13746,4.26878,0.00094,2.75060,-0.73096,0.99265,0.51000
1,3,0.06158,130.96855,0.38703,127.31300,0.22579,245.76103,378.28344,3.04784,4.13387,0.00135,2.59298,-0.66489,0.98665,0.47750
2,3,0.05347,3428.66136,0.03462,1699.81796,0.11748,143.08619,3370.61046,3.24487,4.28175,0.00114,2.97021,-0.76384,0.99597,0.32250
3,3,0.05602,23.72100,0.23426,17.22525,0.21347,158.55270,45.18000,2.98115,4.22445,0.00234,2.37638,-0.69317,0.99163,0.53750
4,3,0.06259,139.58538,0.25671,97.64120,0.22194,208.12051,250.97943,3.05974,4.12945,0.00163,2.58643,-0.65606,0.96258,0.50750
5,3,0.05852,42.85049,0.29787,37.52193,0.20481,257.45016,107.23725,3.06814,4.17818,0.00128,2.62027,-0.65036,0.98452,0.56500
6,3,0.05300,372.15400,0.41013,333.71662,0.10891,299.21364,962.71248,3.23649,4.28676,0.00081,2.94047,-0.76137,0.99700,0.46250
7,3,0.06319,37.35580,0.40096,34.55603,0.22797,191.18505,100.86834,3.04872,4.11261,0.00194,2.48078,-0.66821,0.98341,0.49500
8,3,0.05219,995.58292,0.22884,673.81481,0.10146,297.96364,1699.67630,3.26633,4.30351,0.00073,3.04349,-0.76055,0.99696,0.44000
9,3,0.05461,137.83415,0.40005,109.99710,0.14911,265.85621,302.15425,3.17717,4.26061,0.00124,2.55714,-0.72472,0.99488,0.53000
10,3,0.05689,66.43505,0.37373,56.12947,0.16348,234.02982,158.08282,3.18921,4.20852,0.00126,2.72128,-0.71082,0.99428,0.53250
11,3,0.05424,35.46324,0.37409,31.91830,0.17764,262.22386,92.20997,3.19626,4.26633,0.00130,2.56303,-0.71204,0.99481,0.57750
12,3,0.05749,41.93219,0.35133,36.38874,0.18898,239.99346,103.62275,3.03321,4.20607,0.00151,2.50926,-0.71517,0.99219,0.52250
13,3,0.05260,884.85580,0.36920,571.23242,0.11658,253.40727,1400.07388,3.26343,4.29860,0.00091,2.88969,-0.77238,0.99685,0.44750
14,3,0.05113,102.53309,0.39592,91.32209,0.13087,222.25368,262.75528,3.18698,4.32352,0.00137,2.82415,-0.76664,0.99746,0.46250
15,3,0.05202,797.21242,0.22923,582.20412,0.13438,254.01225,1531.60405,3.18306,4.30882,0.00097,2.86059,-0.75750,0.99670,0.48500
16,3,0.05385,48.02533,0.31402,36.74918,0.16845,247.19771,98.97141,3.08397,4.26918,0.00140,2.54133,-0.72834,0.99547,0.50500
17,3,0.05841,1088.24224,0.31635,863.90353,0.16095,196.88113,2367.37188,3.17050,4.19207,0.00134,2.81233,-0.73491,0.98998,0.46750
18,3,0.05421,276.93178,0.45138,264.04241,0.13729,271.36887,779.23787,3.18224,4.26388,0.00123,2.71007,-0.74704,0.99488,0.52500
19,3,0.05447,148.06250,0.42759,117.82513,0.15575,217.26757,323.23803,3.22026,4.25489,0.00137,2.70069,-0.72250,0.99418,0.46750
20,3,0.05520,81.59109,0.41325,75.89087,0.16774,265.68096,221.97239,3.17828,4.24591,0.00101,2.82416,-0.71608,0.99378,0.46500
21,3,0.05335,57.62214,0.44803,56.98994,0.16307,181.24142,170.33761,3.12166,4.27859,0.00176,2.58534,-0.75037,0.99589,0.45250
22,3,0.05364,43.14542,0.45300,44.86112,0.15705,240.29085,136.29904,3.16367,4.27735,0.00140,2.56079,-0.74796,0.99627,0.52000
23,3,0.05288,669.43219,0.06365,360.74471,0.08943,315.47222,773.54666,3.18378,4.29084,0.00069,3.01807,-0.76803,0.99686,0.49250
24,3,0.06382,49.38685,0.34301,42.22601,0.24283,347.06658,119.51719,3.00133,4.08756,0.00115,2.38177,-0.62108,0.97496,0.39500
25,3,0.05215,251.54330,0.33975,205.84206,0.10251,378.84232,571.82494,3.24978,4.30882,0.00061,3.00380,-0.75055,0.99629,0.48750
26,3,0.06813,77.50531,0.23073,55.98244,0.23804,348.66462,146.42444,2.98200,4.02674,0.00107,2.55277,-0.59780,0.96636,0.56250
27,3,0.06213,495.16381,0.40954,401.45539,0.17483,171.99877,1110.65776,3.10554,4.13998,0.00156,2.71702,-0.70973,0.98719,0.49000
28,3,0.05817,144.71283,0.40935,128.16080,0.15944,304.01430,367.93039,3.17347,4.21219,0.00110,2.67085,-0.72456,0.98614,0.48250
29,3,0.06288,99.57271,0.19772,68.82904,0.16773,226.27451,175.74344,3.07736,4.13957,0.00126,2.74353,-0.69289,0.98139,0.54750
